Brand,Name,Model,Core,RAM,SSD,Discounted Price,Actual Price,Saving,Rating,Reviews
Lenovo,LENOVO IDEAPAD SLIM 5 ULTRA 7 155H,IDEAPAD SLIM 5 ULTRA 7 155H,ULTRA 7,16GB,512GB SSD,256999.0,280000.0,8,0.0,0.0
Lenovo,LENOVO LOQ 15 13TH 13650HX,LOQ 15 13TH 13650HX,CORE I7,24GB,512GB SSD,324999.0,355000.0,8,5.0,1.0
HP,HP LAPTOP 15FD0532NIA 1315U,LAPTOP 15FD0532NIA 1315U,CORE I3,4GB,256GB SSD,110999.0,119000.0,7,5.0,1.0
LENOVO,LENOVO LOQ 15 13650HX,LOQ 15 13650HX,CORE I7,Unknown,Unknown,300999.0,349000.0,14,0.0,0.0
LENOVO,LENOVO LOQ 15 14650HX,LOQ 15 14650HX,CORE I7,Unknown,Unknown,376999.0,424999.0,11,0.0,0.0
HP,HP 15SFQ5000NIA,15SFQ5000NIA,CORE I3,4GB,256GB SSD,101999.0,149000.0,32,0.0,0.0
Lenovo,LENOVO LEGION 5,LEGION 5,CORE I7,16GB,1TB SSD,381999.0,429999.0,11,0.0,0.0
Lenovo,LENOVO LEGION PRO 5 ULTRA 9275HX,LEGION PRO 5 ULTRA 9275HX,ULTRA 9,32GB,1TB SSD,696999.0,745000.0,6,0.0,0.0
ASUS,ASUS TUF GAMING F15FX507VV,TUF GAMING F15FX507VV,CORE I7,16GB,512GB SSD,359999.0,400000.0,10,0.0,0.0
ASUS,ASUS TUF GAMING A14 FA401WU RYZEN AI 9 HX370,TUF GAMING A14 FA401WU RYZEN AI 9 HX370,Unknown,32GB,1TB SSD,501999.0,549000.0,9,0.0,0.0
ASUS,ASUS EXPERTBOOK B3402FBA 1235U,EXPERTBOOK B3402FBA 1235U,CORE I5,8GB,512GB SSD,169999.0,230000.0,26,0.0,0.0
Asus,ASUS EXPERTBOOK B3402FVA 1355U,EXPERTBOOK B3402FVA 1355U,CORE I7,16GB,512GB SSD,209999.0,260000.0,19,0.0,0.0
Lenovo,LENOVO THINKPAD E16 G3 ULTRA 7 255H,THINKPAD E16 G3 ULTRA 7 255H,ULTRA 7,16GB,512GB SSD,293999.0,340000.0,14,0.0,0.0
Dell,DELL ALIENWARE 16X AURORA AC16251 ULTRA 9275HX,ALIENWARE 16X AURORA AC16251 ULTRA 9275HX,ULTRA 9,16GB,1TB SSD,645999.0,750000.0,14,0.0,0.0
HP,HP 15 FD0647TU ERATION,15 FD0647TU ERATION,CORE I5,8GB,512GB SSD,139999.0,170000.0,18,0.0,0.0
HP,HP OMNIBOOK X FLIP 16AS0043DX ULTRA 9288V,OMNIBOOK X FLIP 16AS0043DX ULTRA 9288V,ULTRA 9,32GB,2TB SSD,403999.0,445000.0,9,0.0,0.0
Lenovo,LENOVO THINKPAD E14 G4,THINKPAD E14 G4,CORE I7,8GB,512GB SSD,230999.0,309999.0,25,0.0,0.0
HP,HP PROBOOK 450 G9,PROBOOK 450 G9,CORE I5,8GB,512GB SSD,199999.0,239999.0,17,0.0,0.0
HP,HP PROBOOK 450 G9 BACKLIT KEYBOARD,PROBOOK 450 G9 BACKLIT KEYBOARD,CORE I5,Unknown,Unknown,179999.0,210000.0,14,5.0,1.0
HP,HP PROBOOK 450 G9 INTERNATIONAL,PROBOOK 450 G9 INTERNATIONAL,CORE I7,8GB,512GB SSD,186999.0,259999.0,28,0.0,0.0
Lenovo,LENOVO THINKBOOK 15 G2 1135G7,THINKBOOK 15 G2 1135G7,CORE I5,8GB,1TB SSD,204999.0,219999.0,7,0.0,0.0
HP,HP 15S FC0100AU AMD WIN 11,15S FC0100AU AMD WIN 11,RYZEN 5,8GB,512GB SSD,191999.0,234999.0,18,0.0,0.0
Lenovo,LENOVO V15 G3 12TH,V15 G3 12TH,CORE I5,8GB,512GB SSD,132999.0,199999.0,34,0.0,0.0
HP,HP 250 G10 RAPTOR LAKE,250 G10 RAPTOR LAKE,CORE I5,8GB,512GB SSD,148999.0,185000.0,19,0.0,0.0
HP,HP PROBOOK 450 G10,PROBOOK 450 G10,CORE I7,8GB,512GB SSD,214999.0,240000.0,10,0.0,0.0
Lenovo,LENOVO THINKBOOK 16,THINKBOOK 16,CORE I3,8GB,512GB SSD,127999.0,200000.0,36,0.0,0.0
